날짜,일출(h),일몰(h),최소 온도,최대 온도,강수량(mm),풍속(m/s),습도(%),전운량(%),일사량(MJ/m^2)
20191217,7.483,17.217,2.7,15.1,0,1.7,75.3,59,6.87
20191218,7.5,17.233,4.6,11.2,0,3.1,51,53,11.15
20191219,7.517,17.233,1.6,8.5,0,4.1,34.5,43,10.67
20191220,7.517,17.25,-1.3,6.1,0,2,48.3,60,7.57
20191221,7.533,17.25,-2.3,4.5,0,1.1,57.9,58,5.76
20191222,7.533,17.267,-2.2,7.6,0,0.8,69.4,58,5.48
20191223,7.55,17.267,-2.6,10.4,0,1.7,67.8,30,7.87
20191224,7.55,17.283,-1.7,10.1,0,1,67.1,33,9.97
20191225,7.567,17.283,-2.6,12.1,0,0.9,62.4,48,9.88
20191226,7.567,17.3,2.6,7.1,2.5,2.5,68.1,94,2.44
20191227,7.567,17.3,-0.6,5.6,0,3.5,44.3,5,11.56
20191228,7.583,17.317,-3.4,7.8,0,1.4,50.5,0,10.95
20191229,7.583,17.333,-4.3,4.3,3,0.9,71.6,86,4.04
20191230,7.583,17.333,1.8,10.6,1,2.5,78.8,65,6.47
20191231,7.6,17.35,-5.1,2.6,0,5.2,33,4,12.3
20200101,7.6,17.367,-4.9,4.6,0,3,53.3,26,10.37
20200102,7.6,17.383,-1.7,7.3,0,2.8,57.9,41,10.18
20200103,7.6,17.4,-0.8,8.6,0,2.5,54.3,13,10.35
20200104,7.6,17.4,-2.3,8.6,0,2.4,55.4,18,10.43
20200105,7.6,17.417,-4.3,10.2,0,1,53.6,26,12.39
20200106,7.6,17.433,-1.4,3,12,0.9,84.3,98,2.28
20200107,7.6,17.45,2.9,15.7,27,1.1,97,99,1.86
20200108,7.6,17.467,5.4,14.1,0.3,4.4,64.5,81,7.47
20200109,7.6,17.483,1,6.5,0,3.5,54,30,10.41
20200110,7.6,17.5,-3.6,9.2,0,1.3,59.1,36,12.14
20200111,7.6,17.5,-0.2,8,0,2.4,50.4,40,11.27
20200112,7.6,17.517,0.2,6.5,0,3.3,51.1,24,12
20200113,7.6,17.533,-0.6,5.5,0,3.4,48.1,40,12.31
20200114,7.6,17.55,-0.9,5.8,0,2.9,42.3,44,9.56
20200115,7.583,17.567,-2.8,5.2,0,2.7,47,4,12.56
20200116,7.583,17.583,-4.7,7.2,0,1.5,47.4,61,10.2
20200117,7.583,17.6,-2.1,8,0,0.9,51.8,60,7.82
20200118,7.583,17.617,-1.1,8.7,0,1.6,44.1,60,7.6
20200119,7.567,17.633,-3.2,9,0,2.2,49.4,46,9.77
20200120,7.567,17.65,2.4,8.1,0,3.3,44.1,30,10.28
20200121,7.55,17.667,-2,7.9,0,1.7,36,19,13.27
20200122,7.55,17.683,0.2,5.7,3.5,0.8,65.9,99,2.88
20200123,7.533,17.7,2.7,8.6,7.5,0.8,95.4,96,4.21
20200124,7.533,17.717,0.5,11.8,0,1.9,80.3,70,11.08
20200125,7.517,17.733,5.4,9.8,0,1.9,68.8,89,6.06
20200126,7.517,17.75,1.7,11.2,0.1,2.3,74.1,89,8.09
20200127,7.5,17.783,4.5,8.5,19.5,4.1,85.3,100,1.99
20200128,7.5,17.8,4.5,11.1,0,1.3,75,90,5.47
20200129,7.483,17.817,3.6,9.8,0.5,1.3,75,90,7.18
20200130,7.467,17.833,3.1,9.3,0,1.6,67.9,75,7.93
20200131,7.467,17.85,0.9,8.3,0,1.1,66.8,63,7.23
20200201,7.45,17.867,-1.8,8.1,0,2,67.6,24,10.87
20200202,7.433,17.883,-1.7,9.5,0,1.2,61.5,26,12.17
20200203,7.417,17.9,0.3,7.5,0,2.9,45.6,20,12.55
20200204,7.4,17.917,-4.3,7.7,0,1.8,42.5,8,15.24
20200205,7.4,17.933,-4.9,3.4,0,4.5,30.8,11,16.02
20200206,7.383,17.95,-7.5,3.6,0,1.8,39.3,30,13.84
20200207,7.367,17.967,-4.4,7.7,0,2.2,49.9,51,13.29
20200208,7.35,17.983,0.4,7.2,0,3.7,46,31,14.34
20200209,7.333,18,-4.4,8,0,2.2,44.3,4,15.74
20200210,7.317,18.017,1.4,12.1,0,2.1,46.8,24,14.25
20200211,7.3,18.033,-2.9,13.5,0,1.2,56.3,48,13.25
20200212,7.283,18.05,6,9.5,6,1.7,90.5,98,2.88
20200213,7.267,18.067,6,15.3,0,1.8,76,58,11.86
20200214,7.25,18.083,5.2,18.5,0,1.4,63.4,49,15.2
20200215,7.233,18.1,7.4,17.3,0,2.6,69.8,69,12.06
20200216,7.217,18.117,0.1,12.1,4,4.8,64.1,86,12.51
20200217,7.2,18.133,-4.2,1.8,0,5.7,51.9,54,12.01
20200218,7.183,18.15,-5.4,5.3,0,3.5,44.8,3,17.75
20200219,7.15,18.167,-0.6,11.4,0,2,43.8,44,16.79
20200220,7.133,18.183,-0.3,14.4,0,1.1,53.3,18,15.81
20200221,7.117,18.2,-0.8,16.7,0,1.5,56.5,66,14.87
20200222,7.1,18.217,3.2,12.1,0,4.7,46,28,17.17
20200223,7.083,18.233,0.6,11.2,0,2.8,42.3,0,18.45
20200224,7.05,18.25,-1.2,16.4,0,1.1,40.3,48,15.77
20200225,7.033,18.267,5.7,9.8,29,2.8,96.4,100,1.64
20200226,7.017,18.283,5.9,13.5,0.2,1.9,82.8,86,9.39
20200227,7,18.3,4.6,9.3,0,3.4,68,84,14.95
20200228,6.967,18.317,2.3,8.1,1,1.4,90,83,4.96
20200229,6.95,18.333,2,11.8,0,1.1,88.6,55,9.68
20200301,6.933,18.35,3.6,14.7,0,1.5,78.5,79,14.36
20200302,6.9,18.367,4.2,11.5,0,3.8,57,29,18.14
20200303,6.883,18.383,3.7,12.5,0,2.8,73.1,69,15.1
20200304,6.867,18.383,1,10.6,0,4.6,53,50,18.98
20200305,6.833,18.4,-0.7,10.4,0,3,51.8,0,19.75
20200306,6.817,18.417,-2.9,13.9,0,1.1,51.1,20,20.04
20200307,6.8,18.433,1.5,10.2,2,1.2,78,90,6.52
20200308,6.767,18.45,1.8,16,0,2,77.9,25,17.73
20200309,6.75,18.467,1.6,15.1,3,1.5,83.4,74,12.1
20200310,6.733,18.483,5.8,10.7,10,2.9,90.9,88,4.5
20200311,6.7,18.5,2.9,11.2,0,4.5,48.1,0,21.79
20200312,6.683,18.517,-0.9,17.1,0,1.7,48.1,8,21.18
20200313,6.65,18.517,3.8,15.4,0,2.4,47,83,15.08
20200314,6.633,18.533,1.6,11.5,0,4.6,37.3,23,22.16
20200315,6.6,18.55,1.6,12.2,0,4,48.4,28,15.86
20200316,6.583,18.567,0.8,12.1,0,2.5,47.1,1,22.28
20200317,6.567,18.583,1.1,18.6,0,2.6,53.6,18,19.57
20200318,6.533,18.6,3.3,19.6,0,1.4,50.5,0,22.17
20200319,6.517,18.617,6,19.4,0,4.4,52,14,18.37
20200320,6.483,18.617,7,18.6,0,3.5,38.6,0,22.2
20200321,6.467,18.633,5.2,25.4,0,1.5,54.1,23,19.77
20200322,6.433,18.65,7.8,21.7,0,2.8,62.4,20,21.84
20200323,6.417,18.667,3,20.1,0,3,56.9,0,22.58
20200324,6.4,18.683,3.8,19,0,1.9,59,3,22.15
20200325,6.367,18.7,3.6,21.4,0,1.5,57.4,18,21.84
20200326,6.35,18.7,9.8,16.9,3.5,0.7,76.8,95,5.86
20200327,6.317,18.717,9.8,19.6,6,2.1,87,81,7.29
20200328,6.3,18.733,6.2,11.1,0,3.3,60.3,79,9.7
20200329,6.267,18.75,3.4,14.4,0,2.6,70.3,65,18.18
20200330,6.25,18.767,6.1,18.3,0,1.8,64,61,20.98
20200331,6.233,18.783,4.6,21.1,0,1.5,64.5,35,22.52
20200401,6.2,18.783,9,19.8,0,2.5,50.1,51,14.57
20200402,6.183,18.8,4.4,19,0,2,39.4,25,22.3
20200403,6.15,18.817,5.3,20.6,0,2.2,40.4,3,24.18
20200404,6.133,18.833,5.5,20.2,0,2.9,54,0,23.74
20200405,6.1,18.85,1.5,16.6,0,2,40.8,0,25.85
20200406,6.083,18.867,1.3,18.9,0,1.7,43.9,36,24.33
20200407,6.067,18.867,8.5,21.7,0,3.4,37.6,19,22.01
20200408,6.033,18.883,7.1,18.8,0,3.9,45,0,26.11
20200409,6.017,18.9,3,17.5,0,2.8,55.5,16,23.78
20200410,6,18.917,8.2,15,0,2.1,60.8,88,13.41
20200411,5.967,18.933,5.8,15.2,0.1,1.5,69.3,83,11.77
20200412,5.95,18.95,7.6,13,1,2.6,76.8,81,11.71
20200413,5.917,18.95,6.4,16.7,0,2.7,49.6,55,17.08
20200414,5.9,18.967,2.4,23.9,0,2,39.9,14,26.51
20200415,5.883,18.983,6.6,23.1,0,2.5,46,75,22.16
20200416,5.85,19,9,18.1,0,4.1,67.4,30,23.91
20200417,5.833,19.017,8.6,12.9,11.5,1.9,92.4,95,5.21
20200418,5.817,19.033,10.3,19.9,0.3,2.8,73.3,48,18.74
20200419,5.8,19.033,9.6,13.9,19,2.9,91.9,96,5.85
20200420,5.767,19.05,9.6,19.8,0.5,3.4,73,78,19.28
20200421,5.75,19.067,6.2,17.3,0,5.4,40.3,53,25.59
20200422,5.733,19.083,4.8,14.4,0,5.3,41.3,28,27.14
20200423,5.717,19.1,4.9,16,0,5.2,41,21,26.33
20200424,5.683,19.117,4.2,18.4,0,3.8,29.8,4,27.37
20200425,5.667,19.133,5.7,24.1,0,2.5,41.6,0,25.45
20200426,5.65,19.133,9.4,19.8,0,3.2,51.1,16,27.92
20200427,5.633,19.15,5.4,20,0,2.4,60.1,31,24
20200428,5.617,19.167,6.2,22.6,0,2.3,46.1,0,27.25
20200429,5.6,19.183,7.5,26.1,0,1.6,44.4,0,26.7
20200430,5.567,19.2,10.2,28,0,2,57.9,0,27.61
20200501,5.55,19.217,14.3,31.3,0,1.8,72.3,5,25.48
20200502,5.533,19.217,17.6,29.7,0,1.9,67.6,84,20.06
20200503,5.517,19.233,16.4,20.3,5.5,1.5,98,98,6.49
20200504,5.5,19.25,14.7,29.7,0,3.4,76.4,49,23.92
20200505,5.483,19.267,14.4,21.2,2.5,2.6,83.1,86,13.83
20200506,5.467,19.283,13.3,26.1,0,3.3,67.5,21,27.6
20200507,5.45,19.3,9.8,21.9,0,3.7,55.9,51,28.86
20200508,5.433,19.317,9.1,25.6,1.5,2.2,64.4,69,24.87
20200509,5.417,19.317,14.6,19,16.5,2.3,95.3,96,4.12
20200510,5.4,19.333,16.3,23.9,0,3,69.5,39,20.87
20200511,5.4,19.35,12.9,28.6,0,2.5,49.1,26,25.97
20200512,5.383,19.367,14.8,26.5,0,4.1,42.1,13,26.41
20200513,5.367,19.383,10.8,25.5,0,3,40.6,4,29.18
20200514,5.35,19.383,11,28.3,0,1.3,41.3,60,20.04
20200515,5.333,19.4,14.8,19.8,5,2.2,82.6,100,3.56
20200516,5.317,19.417,14.8,26.6,0.1,1.8,80.5,90,18.77
20200517,5.317,19.433,16.2,29,0,1.9,73.1,78,23.42
20200518,5.3,19.45,17.2,23.5,3.5,3.1,80,90,14.64
20200519,5.283,19.45,12.8,19.4,3.5,3.4,71.6,51,15.19
20200520,5.283,19.467,10.5,22.4,0,2.8,57.4,44,27
20200521,5.267,19.483,11.6,24,0,2.8,66.6,66,23.29
20200522,5.25,19.5,12.6,23.2,0,3.3,66.4,54,25.62
20200523,5.25,19.5,11.7,28.6,0,1.9,59.9,19,28.65
20200524,5.233,19.517,16.4,27.4,0,2.3,61.4,75,20.15
20200525,5.233,19.533,16,26.3,0,2.1,57.3,84,17.82
20200526,5.217,19.55,15.9,27.6,0,1.7,55.4,70,19.18
20200527,5.217,19.55,17.3,27.3,0,2.6,45.3,65,27.18
20200528,5.2,19.567,13.7,28.6,0,1.9,47.4,28,27.06
20200529,5.2,19.583,13.5,28.9,0,2.1,50.1,38,27.46
20200530,5.183,19.583,14.2,28.4,0,2.2,49.6,73,22.71
20200531,5.183,19.6,15.6,28.9,0,2,55.6,65,22.05
20200601,5.183,19.617,19.9,29.1,0,3,47.8,39,27.23
20200602,5.167,19.617,15,29.3,0,1.4,41.9,59,21.06
20200603,5.167,19.633,17.2,31.1,0,1.7,56.5,53,22.91
20200604,5.167,19.633,19.6,35.3,0,2.1,56.5,8,27.96
20200605,5.167,19.65,19.8,34.6,0,2.7,61,50,22.83
20200606,5.15,19.667,18.4,26.3,0,4.4,65.9,65,20.25
20200607,5.15,19.667,16.2,31.3,0,2.4,53.9,21,27.28
20200608,5.15,19.683,17.4,35.6,0,1.5,46.6,0,27.86
20200609,5.15,19.683,21,37,0,1.5,46.3,9,28.1
20200610,5.15,19.7,21.3,36.1,0.1,1.8,54.8,65,24.2
20200611,5.15,19.7,20.6,31.7,29,1.5,77.4,64,18.58
20200612,5.15,19.717,19.7,30.9,51,1.8,79.5,86,13.68
20200613,5.15,19.717,19.7,29.5,10,1.3,81.5,95,18.34
20200614,5.15,19.717,23.1,30.5,36.5,2.5,80.9,81,11.41
20200615,5.15,19.733,19.9,31.8,0,2.4,53.9,45,27.28
20200616,5.15,19.733,18.9,31.3,0,2,49.9,49,26.02
20200617,5.15,19.733,18.3,27.7,0,1.4,54.4,91,15.86
20200618,5.15,19.75,17.8,23.1,7.2,1.4,84.6,100,6.81
20200619,5.15,19.75,17.9,28.7,0.4,2.1,70.6,73,23.16
20200620,5.15,19.75,20,28.8,0,2.8,62.8,55,25.04
20200621,5.167,19.75,17.7,27.2,0,3.4,64.1,21,25.69
20200622,5.167,19.767,16.2,33.5,0,1.7,56.1,3,29.72
20200623,5.167,19.767,19.4,34,0,1.9,53.4,46,27.58
20200624,5.167,19.767,20.1,24.5,2.3,2.8,75.4,96,6.44
20200625,5.183,19.767,20.1,26.9,0.7,1.1,86.1,96,8.25
20200626,5.183,19.767,21.7,30.7,0,2.4,60.3,69,23.39
20200627,5.183,19.767,20.9,31.3,0,1.3,59.4,75,20.15
20200628,5.2,19.767,21.4,32,0,2.2,59.1,18,27.4
20200629,5.2,19.767,19.8,26.8,42.2,3.1,82,83,9.97
20200630,5.2,19.767,19.3,28.2,5.9,3.2,72.6,89,18.16
20200701,5.217,19.767,19.1,26.3,0.4,2.2,69.1,84,15.4
20200702,5.217,19.767,18.3,28.8,0,1.8,64.1,64,25.26
20200703,5.233,19.767,18,22.6,5.9,2.7,73.9,96,7.62
20200704,5.233,19.767,17.9,24.2,0,1.4,75.8,89,13.59
20200705,5.25,19.767,19.8,28.6,0,0.9,70.1,76,14.86
20200706,5.25,19.75,19.9,28.1,0,1.3,74.6,89,12.15
20200707,5.267,19.75,23.1,32.4,0,1.8,70.4,63,20.99
20200708,5.267,19.75,22.3,31,0,2.2,64.5,55,22.12
20200709,5.283,19.75,20.8,29.7,0,3.6,74.3,58,24.9
20200710,5.3,19.733,21,28.4,26.2,2.2,84,88,8.32
20200711,5.3,19.733,21.6,31.3,0,2.3,71.6,86,17.2
20200712,5.317,19.717,18.1,21.9,27.8,3.4,82.8,99,6.52
20200713,5.317,19.717,18.2,21,54.5,4.1,89.3,100,4.88
20200714,5.333,19.717,18.4,21.5,0.8,2.4,89.6,100,8.02
20200715,5.35,19.7,17.5,22.9,2.4,2.6,83.8,93,12.87
20200716,5.35,19.7,16.8,28.8,0,2.1,65.8,36,28.42
20200717,5.367,19.683,17.3,28.8,0,2.9,65.9,11,28.77
20200718,5.383,19.683,16.8,27.6,0,2.4,71,64,22.38
20200719,5.4,19.667,20.5,28,0,2.9,78.4,94,7.85
20200720,5.4,19.65,25.9,32.8,0.9,2.3,63.4,89,9.76
20200721,5.417,19.65,22.8,31.8,5.9,1.6,64.9,69,23.08
20200722,5.433,19.633,21.5,25.1,45.6,0.9,94.3,100,5.71
20200723,5.433,19.617,21,22.5,63.1,3.5,91.8,98,4.92
20200724,5.45,19.617,20.2,23,11.5,2.8,91.1,95,5.29
20200725,5.467,19.6,20.1,24.8,13.7,1.2,93.6,100,9.67
20200726,5.483,19.583,21.3,30.2,0,1.7,75,86,19.14
20200727,5.483,19.583,21.3,24.6,16.9,2.9,89.9,98,7.33
20200728,5.5,19.567,21.3,24.2,14.6,2.7,91.8,100,6.19
20200729,5.517,19.55,21.6,24.7,3.9,2,94.4,96,6.61
20200730,5.533,19.533,21.2,25,36,1,91.8,86,6.49
20200731,5.533,19.517,21.9,31.5,0.4,1.2,81,89,14.74
20200801,5.55,19.5,23.9,34.1,0.1,1.1,74.9,84,18.91
20200802,5.567,19.483,24.6,33.4,0,1.3,69.6,84,15.38
20200803,5.583,19.467,25.7,33,0,1.6,66.3,81,16.36
20200804,5.6,19.45,24.9,34.4,0,1.6,66.8,65,20.67
20200805,5.6,19.433,25.4,33,0,1.7,68.9,94,13.76
20200806,5.617,19.417,25.8,31.2,9.9,2,72.6,86,8.02
20200807,5.633,19.4,22.5,27.1,84.7,1,93.6,98,2.96
20200808,5.65,19.383,22.9,25,168.2,1,96.9,96,2.78
20200809,5.667,19.367,23.9,33.4,0.5,1.9,71.6,74,19.14
20200810,5.667,19.35,24.2,30.6,18.1,1.7,90.1,96,6.2
20200811,5.683,19.333,24.3,33.2,4.8,1.2,81.8,71,14.65
20200812,5.7,19.317,24.7,33.7,0,1.1,79.4,76,16.11
20200813,5.717,19.3,25.8,35.4,0,1.7,68.1,48,23.4
20200814,5.717,19.283,25.6,35.6,0,2.3,64.3,44,24.17
20200815,5.733,19.25,27.1,36.1,0,2.1,60.9,49,19.7
20200816,5.75,19.233,25.9,35.9,0,1.5,64,36,22
20200817,5.767,19.217,25.3,34.2,0,1.7,66.5,46,25.61
20200818,5.783,19.2,24.8,35.9,0,1.5,63.3,16,25.44
20200819,5.783,19.183,24.8,36,0,2.1,59.4,3,25.7
20200820,5.8,19.15,24.4,36.3,0,1.7,60,9,25.01
20200821,5.817,19.133,23.8,33.8,0,2.9,71.8,51,18.04
20200822,5.833,19.117,23.8,31.2,0,3,69.8,81,18.59
20200823,5.85,19.083,24,33.5,0,1.5,66.4,68,19.2
20200824,5.85,19.067,23.6,33.9,0,1.6,67.8,24,18.75
20200825,5.867,19.05,23.7,36.3,0,1.6,65.1,20,22.79
20200826,5.883,19.017,27,33.5,0,4,67.8,75,19.74
20200827,5.9,19,25.7,33.3,7.1,2.8,74.1,89,13.9
20200828,5.9,18.983,26,32.9,0,1.7,73,84,15.45
20200829,5.917,18.95,26.3,33.9,0.5,1.4,65.4,75,16.7
20200830,5.933,18.933,25,34.9,28.8,2,70.9,73,15.64
20200831,5.95,18.917,23.8,27.4,0,3.1,73.4,76,9.67
20200901,5.95,18.883,22.9,29.4,0,2.5,72.6,94,11.31
20200902,5.967,18.867,23.9,28.3,44.7,3.4,84.8,100,5
20200903,5.983,18.833,23.8,30.8,44.8,5.6,57.8,48,20.58
20200904,6,18.817,18.3,30.4,0,1.3,62,19,21.34
20200905,6.017,18.783,17.3,23.1,4,1.9,85.3,96,4.8
20200906,6.017,18.767,17.6,20.7,18.3,1.3,93.4,100,3.9
20200907,6.033,18.75,18.8,25.6,34.4,4.3,72.4,83,5.44
20200908,6.05,18.717,22.1,30.3,0,2.8,62,29,19.31
20200909,6.067,18.7,21.1,28.1,1.2,1.6,70.9,49,14.51
20200910,6.067,18.667,19.3,28.1,1.6,1.2,72.6,79,14.34
20200911,6.083,18.65,18.8,26.5,3.3,2.4,81.8,99,8.58
20200912,6.1,18.617,18.3,21.9,3.8,1.3,90.9,98,5.52
20200913,6.117,18.6,18.1,26,0,1.7,76.1,79,15.39
20200914,6.117,18.567,18,28.6,0,1.6,71,64,20.89
20200915,6.133,18.55,18.3,28.9,0,1.7,71.5,63,18.62
20200916,6.15,18.517,19.8,23.7,1.3,1.4,85.8,90,7.27
20200917,6.167,18.5,18.3,25,1.7,0.9,87,93,6.17
20200918,6.167,18.467,16,25.6,1.9,1.6,71.1,66,13.91
20200919,6.183,18.45,12.7,27.4,0,1.7,63.1,34,19.62
20200920,6.2,18.417,13.6,26.3,0,2.2,59.8,1,22.03
20200921,6.217,18.4,12,24.4,0,1.7,69.3,33,18.62
20200922,6.233,18.383,14.2,22.9,0,2.1,76.4,58,13.65
20200923,6.233,18.35,14.3,22.9,0,2,69.8,85,11.34
20200924,6.25,18.333,16.1,23.9,0,2,70.4,59,11.41
20200925,6.267,18.3,14.8,25.6,0,1.5,70.4,51,12.85
20200926,6.283,18.283,14.6,25,0,1.5,70.4,58,14.29
20200927,6.283,18.25,14.8,24.3,0,1.9,68.6,44,13.49
20200928,6.3,18.233,11.7,24.1,0,2,72.9,19,20.27
20200929,6.317,18.2,11.8,26.1,0,1.2,67.8,46,18.58
20200930,6.333,18.183,13.1,25,0,1.8,70.4,44,16
20201001,6.35,18.15,12.8,24.9,0,2,74.1,38,19.29
20201002,6.35,18.133,14.4,26.6,0,1.4,71.4,48,18
20201003,6.367,18.1,17.6,27.3,1,1.1,75,78,14.63
20201004,6.383,18.083,17,23.1,0.1,2,71.6,95,5.22
20201005,6.4,18.067,11,20.1,0,3.9,43.5,35,19.37
20201006,6.417,18.033,9.5,22.4,0,1.7,54.5,29,19.52
20201007,6.417,18.017,12.3,22.1,0,2.7,66.3,65,14.46
20201008,6.433,17.983,15.6,21.3,0,4.2,54.6,39,15.86
20201009,6.45,17.967,16.5,21.5,0,3.8,56,65,12.95
20201010,6.467,17.95,14.6,23.7,0,2,62.5,73,12.41
20201011,6.483,17.917,12.1,21.5,0,1.1,71.5,55,12.34
20201012,6.5,17.9,12.4,23.5,0,1.6,72,43,12.26
20201013,6.517,17.883,11.2,21.8,0,2.5,53,38,16.29
20201014,6.517,17.85,7.9,21.4,0,1.6,64.5,44,12.95
20201015,6.533,17.833,7.6,21.1,0,1.7,55.3,40,17.2
20201016,6.55,17.817,8.7,17,0,0.9,72.9,80,6.95
20201017,6.567,17.783,8.3,21,0,1.4,70.4,0,16.62
20201018,6.583,17.767,7.8,21.8,0,1.4,63.9,20,18.03
20201019,6.6,17.75,7.1,22.4,0,1.2,69,28,16.25
20201020,6.617,17.733,8.1,22.9,0,1.7,71.9,1,16.58
20201021,6.633,17.7,9.2,18.3,12,1,86.9,88,6.46
20201022,6.65,17.683,11.9,18.9,0,2.2,75.9,79,7.37
20201023,6.65,17.667,8.3,16.7,0,4,45.4,3,17.27
20201024,6.667,17.65,5.8,16.7,0,3.9,41.3,0,16.95
20201025,6.683,17.633,6.4,20.8,0,2.5,53.5,35,16.35
20201026,6.7,17.6,6.2,21.6,0,1.1,61.6,16,15.21
20201027,6.717,17.583,6.1,21.6,0,0.9,65.8,19,13.99
20201028,6.733,17.567,11.4,21.3,0,2.2,50.8,58,10.2
20201029,6.75,17.55,5.3,19.2,0,1.2,53.6,31,14.22
20201030,6.767,17.533,5.4,18.7,0,1.9,70.1,23,13.07
20201031,6.783,17.517,5.4,18.1,0,1.1,69,36,14.13
20201101,6.8,17.5,9.6,13.6,3.1,0.8,86.6,100,3.25
20201102,6.817,17.483,6.9,18.2,0,1.6,62.6,51,10.75
20201103,6.833,17.467,4.3,11.4,0,4,46.4,15,14.86
20201104,6.85,17.45,2.2,12.7,0,3.1,39.4,0,15.64
20201105,6.867,17.433,-0.8,16.9,0,0.9,49.4,40,13.88
20201106,6.883,17.417,9.2,14.6,0,0.8,56.9,86,3.13
20201107,6.9,17.4,7.3,22.3,0,1.9,58.9,11,12.63
20201108,6.917,17.4,6.3,17.8,0,3,39.4,5,13.75
20201109,6.933,17.383,4.1,12.8,0,3.3,34.1,21,14.6
20201110,6.95,17.367,3.8,15.1,0,1.8,42.5,6,14.17
20201111,6.967,17.35,1.1,16.5,0,1.1,52,0,13.58
20201112,6.983,17.333,1.7,18.8,0,1.1,59.3,0,13.3
20201113,7,17.333,3.1,19.7,0,1.1,57.3,0,12.03
20201114,7.017,17.317,4.1,19,0,1.8,71.6,16,10.73
20201115,7.033,17.3,4.9,18.9,0,1,76.6,20,10.88
20201116,7.05,17.3,5,20.3,0,1.7,70.1,25,11.12
20201117,7.067,17.283,9.1,20.4,0.4,1.1,75.3,69,8.62
20201118,7.083,17.267,12.8,23.4,0,2.1,74.6,80,7.58
20201119,7.1,17.267,12.8,25.3,19,3,78,81,4.71
20201120,7.117,17.25,5.2,12.9,0,4.1,62.8,39,12.14
20201121,7.133,17.25,1.4,11.9,0,1.6,72.4,64,6.77
20201122,7.15,17.233,7.5,11.9,1.4,2.7,74.4,84,4.16
20201123,7.167,17.233,2.7,10.5,0,3,49.1,4,12.63
20201124,7.183,17.233,0.9,12.9,0,1.2,58.4,49,9.59
20201125,7.2,17.217,0.9,12.6,0,2.4,53.5,24,12.19
20201126,7.217,17.217,4.9,13.3,0,1.8,63.8,70,8.85
20201127,7.233,17.217,3.8,11.9,0,3.6,55.1,59,9.6
20201128,7.25,17.2,1.4,7.6,0,3.1,44.9,46,11.67
20201129,7.25,17.2,-0.8,8.2,0,3.2,53.6,18,11.93
20201130,7.267,17.2,0.8,8.2,0,3.1,47.9,0,11.94
20201201,7.283,17.2,-3.1,9.8,0,1.6,46.6,28,11.47
20201202,7.3,17.2,-1.9,10.3,0,1.3,47.6,33,8.95
20201203,7.317,17.2,1.8,8.7,0,3.2,40.3,46,10.99
20201204,7.333,17.2,-2.5,7.6,0,2.9,42.4,14,11.76
20201205,7.35,17.2,-1.5,8.4,0,2.2,60.3,23,10.4
20201206,7.367,17.2,-1.3,10.5,0,1.5,65.6,0,11.54
20201207,7.383,17.2,-1.8,11.3,0,2,64.4,26,8.07
20201208,7.383,17.2,-1.4,6.8,0,2.5,48,10,9.51
20201209,7.4,17.2,-4.9,9.7,0,1.2,48.3,13,11.22
20201210,7.417,17.2,1.4,12.2,0,1.2,54.9,64,7.6
20201211,7.433,17.2,2,11.4,0,1.2,62.5,78,7.63
20201212,7.433,17.2,0.8,9.4,0,3,43.6,30,10.4
20201213,7.45,17.2,-1.9,10.5,0,2.4,53.9,65,5.56
20201214,7.467,17.217,-5.6,-0.5,0,4.4,33.5,21,11.96
20201215,7.467,17.217,-7.4,-0.4,0,4.4,36,0,12.01
20201216,7.483,17.217,-5.8,-0.2,0,4.5,40.9,0,11.78
20201217,7.5,17.233,-5.7,2.4,0,3.2,43,0,11.66
20201218,7.5,17.233,-4.9,7.2,0,2.5,49.5,56,8.32
20201219,7.517,17.25,-4.3,2.5,0,3.7,34.3,29,11.84
20201220,7.533,17.25,-4.7,4.5,0,2.7,43.4,33,10.3
20201221,7.533,17.25,-4.5,5.9,0,1.9,58,23,8.47
20201222,7.55,17.267,-4.4,8.9,0,1.6,64.4,5,10.16
20201223,7.55,17.283,-3.6,8.7,0,1,68.3,46,7.75
20201224,7.55,17.283,-0.5,11.1,0,2.9,55,34,9.32
20201225,7.567,17.3,-2.9,5.4,0,3.7,50.5,1,11.24
20201226,7.567,17.3,-4.6,9.1,0,0.8,61.4,64,9.51
20201227,7.583,17.317,-2.1,6.8,1.3,1,79.5,85,5.28
20201228,7.583,17.333,0.4,12.6,0,0.8,87.4,46,8.01
20201229,7.583,17.333,-1.6,11.9,1.3,2.1,81.5,69,8.22
20201230,7.583,17.35,-8.6,0.9,0.2,6.2,50.5,30,12.17
20201231,7.6,17.367,-10.3,-0.6,0,3.8,50.4,13,11.47
20210101,7.6,17.383,-5.7,2.6,0,1.9,66.4,45,10.08
20210102,7.6,17.383,-3.7,2.1,0,3.1,50.9,20,11.42
20210103,7.6,17.4,-4.1,2.1,0,4,42.5,59,10
20210104,7.6,17.417,-5.8,5.5,0,1.4,51.8,25,10.68
20210105,7.6,17.433,-5.1,2.6,0,3.2,47.9,44,7.9
20210106,7.6,17.45,-7.5,0.4,0,2.7,47.6,24,11.96
20210107,7.6,17.45,-12.4,-1.2,0.2,5.3,40.3,18,12.79
20210108,7.6,17.467,-13.6,-5.8,0,4.6,41.3,0,12.52
20210109,7.6,17.483,-11.4,-3.1,0,4.2,45.1,5,12.21
